fire_year,total_acres
1990,11517
1991,8147
1992,54174
1993,3089
1994,64552
1995,8046
1996,229744
1997,3013
1998,6823
1999,15508
2000,113334
2001,75994
2002,1258496
2003,123391
2004,6418
2005,71253
2006,120377
2007,371617
2008,17217
2009,65699
2010,18015
2011,18298
2012,220812
2013,128307
2014,287143
2015,386125
2016,50499
2017,493379
2018,461506
2019,17243
2020,845088
2021,80610
