STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/7/2008,,,,,,25,34,18,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/7/2008,,,0,0,0,,45,30,33,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/7/2008,,,0,,14,20,24,16,19,5.3,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/7/2008,,,0,0,0,,43,29,32,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/7/2008,,,0,,38,19,24,13,18,9.6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/7/2008,,,,,,36,45,31,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/8/2008,,,,,,28,31,24,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/8/2008,,,0.05,0,0,,46,29,32,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/8/2008,,,0.1,,18,24,28,18,27,5.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/8/2008,,,0.02,0,0,,41,28,38,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/8/2008,,,1.1,,47,24,28,18,28,10.6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/8/2008,,,,,,37,43,31,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/9/2008,,,,,,26,32,18,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/9/2008,,,0.35,0,0,,39,32,37,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/9/2008,,,0.1,,18,20,27,16,22,6.5,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/9/2008,,,0.08,0,0,,44,28,29,,,,,,,,
