STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/4/2010,,,0,0,0,,39,27,27,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/4/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/4/2010,,,0.2,,21,28,32,21,32,5.1,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/4/2010,,,,,,33,34,31,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/5/2010,,,,,,33,43,27,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/5/2010,,,0,0,0,,35,31,32,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/5/2010,,,0,,14,33,36,31,35,2.7,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/5/2010,,,0.04,0.3,0,,30,26,27,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/5/2010,,,0.08,1,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/5/2010,,,0,,22,32,35,29,31,5.1,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/5/2010,,,,,,33,35,28,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/6/2010,,,,,,33,37,29,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/6/2010,,,0,0,0,,35,27,27,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/6/2010,,,0,,13,34,36,33,33,2.7,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/6/2010,,,0,0,0,,31,25,29,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/6/2010,,,0,,21,32,34,29,30,5.1,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/6/2010,,,,,,32,37,25,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/7/2010,,,,,,35,40,30,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/7/2010,,,0,0,0,,37,27,30,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/7/2010,,,0,,13,36,38,33,37,2.8,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/7/2010,,,0.01,0,0,,34,25,26,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/7/2010,,,0.03,,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/7/2010,,,0,,20,32,35,29,32,5,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/7/2010,,,,,,33,37,28,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/8/2010,,,,,,37,46,29,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/8/2010,,,0,0,0,,36,31,33,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/8/2010,,,0.2,,12,37,42,33,33,2.8,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/8/2010,,,0,0,0,,32,26,30,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/8/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/8/2010,,,0.2,,22,33,36,30,30,5.2,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/8/2010,,,,,,36,45,28,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/9/2010,,,,,,31,34,27,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/9/2010,,,0,0,0,,45,29,34,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/9/2010,,,0.1,,13,34,37,31,31,2.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/9/2010,,,0,0,0,,57,30,46,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/9/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/9/2010,,,0.4,,24,31,34,28,29,5.6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/9/2010,,,,,,38,44,29,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/10/2010,,,,,,30,33,26,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/10/2010,,,0.28,0,0,,44,38,40,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/10/2010,,,0,,13,30,33,27,29,2.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/10/2010,,,0.05,0,0,,54,38,41,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/10/2010,,,0.08,,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/10/2010,,,0.3,,26,28,31,24,27,6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/10/2010,,,,,,40,47,35,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/11/2010,,,,,,31,34,28,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/11/2010,,,0,0,0,,47,31,35,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/11/2010,,,0.5,,14,33,42,29,40,3.4,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/11/2010,,,0.02,0,0,,47,33,36,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/11/2010,,,0.03,,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/11/2010,,,0.8,,27,31,37,25,36,6.4,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/11/2010,,,,,,36,38,31,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/12/2010,,,,,,29,33,24,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/12/2010,,,0.32,0,0,,37,34,34,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/12/2010,,,0.1,,9,41,44,39,40,2.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/12/2010,,,0.3,0,0,,56,33,45,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/12/2010,,,0.29,,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/12/2010,,,0.2,,23,37,39,36,37,6.5,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/12/2010,,,,,,41,46,35,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/13/2010,,,,,,27,31,22,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/13/2010,,,0.02,0,0,,45,40,42,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/13/2010,,,0,,6,39,40,39,40,2.3,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/13/2010,,,0.18,0,0,,59,44,50,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/13/2010,,,0.25,,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/13/2010,,,0.3,,21,37,38,36,37,6.2,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/13/2010,,,,,,47,57,41,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/14/2010,,,,,,27,34,20,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/14/2010,,,0.17,0,0,,53,41,43,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/14/2010,,,0,,8,31,40,25,26,1.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/14/2010,,,0.39,0,0,,58,35,41,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/14/2010,,,0.22,,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/14/2010,,,0.2,,22,28,37,22,22,6.7,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/14/2010,,,,,,45,53,38,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/15/2010,,,,,,25,32,20,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/15/2010,,,0,0,0,,54,31,31,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/15/2010,,,0.1,,7,26,32,23,25,1.7,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/15/2010,,,0,0,0,,47,31,34,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/15/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/15/2010,,,0,,22,22,27,18,18,6.7,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/15/2010,,,,,,37,46,31,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/16/2010,,,,,,24,32,19,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/16/2010,,,0,0,0,,46,27,28,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/16/2010,,,0,,7,26,32,22,23,1.7,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/16/2010,,,0,0,0,,44,28,31,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/16/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/16/2010,,,0,,21,21,27,18,18,6.5,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/16/2010,,,,,,36,47,27,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/17/2010,,,,,,23,32,18,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/17/2010,,,0.2,0,0,,44,25,33,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/17/2010,,,0,,8,25,31,21,24,1.7,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/17/2010,,,0,0,0,,46,22,22,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/17/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/17/2010,,,0,,21,20,26,16,19,6.5,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/17/2010,,,,,,35,45,26,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/18/2010,,,,,,28,35,23,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/18/2010,,,0,0,0,,42,25,30,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/18/2010,,,0.2,,10,27,32,22,28,2.5,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/18/2010,,,0.06,0.7,1,,40,22,26,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/18/2010,,,0.09,1,,,,,,,0.1,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/18/2010,,,0.5,,26,24,31,19,24,7,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/18/2010,,,,,,33,37,24,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/19/2010,,,,,,29,36,21,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/19/2010,,,0,0,0,,34,28,30,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/19/2010,,,0.3,,13,27,30,21,26,2.8,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/19/2010,,,0.12,1.7,2,,32,19,26,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/19/2010,,,0.5,,30,26,29,21,21,7.5,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/19/2010,,,,,,32,35,28,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/20/2010,,,,,,28,34,21,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/20/2010,,,0.28,,3,,34,17,26,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/20/2010,,,0,,13,27,30,24,28,2.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/20/2010,,,0.16,2.5,4,,39,14,39,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/20/2010,,,0.1,,29,25,29,20,24,7.7,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/20/2010,,,,,,29,35,24,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/21/2010,,,,,,30,36,26,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/21/2010,,,0,0,,,33,26,27,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/21/2010,,,0.1,,13,30,33,27,29,2.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/21/2010,,,0.04,0,1,,44,20,22,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/21/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/21/2010,,,0,,29,26,29,24,26,7.8,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/21/2010,,,,,,31,33,27,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/22/2010,,,,,,30,36,27,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/22/2010,,,0,0,,,33,22,28,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/22/2010,,,0,,13,30,32,29,31,3.2,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/22/2010,,,0,0,1,,45,22,32,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/22/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/22/2010,,,0.3,,30,28,31,24,28,8,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/22/2010,,,,,,32,35,26,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/23/2010,,,,,,30,34,25,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/23/2010,,,0.15,0,,,34,30,33,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/23/2010,,,0,,13,31,33,28,33,3.2,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/23/2010,,,0,0,1,,34,24,25,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/23/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/23/2010,,,0,,29,27,30,25,27,8,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/23/2010,,,,,,35,36,34,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/24/2010,,,,,,33,42,27,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/24/2010,,,0,0,,,34,33,33,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/24/2010,,,0.1,,12,34,38,32,36,3.2,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/24/2010,,,0,0,1,,30,24,26,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/24/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/24/2010,,,0,,29,30,37,27,30,8.1,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/24/2010,,,,,,36,39,33,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/25/2010,,,,,,20,32,5,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/25/2010,,,0,0,,,36,31,32,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/25/2010,,,0,,11,36,39,34,36,3.2,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/25/2010,,,0,0,1,,31,26,28,,,,,,,,
US1ORMW0003,"HEPPNER 3.8 WSW, OR US",MORROW,45.3283575,-119.6219732,750.7,12/25/2010,,,0,0,,,,,,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/25/2010,,,0,,28,33,38,29,33,8.1,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/25/2010,,,,,,34,36,33,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/26/2010,,,,,,23,33,6,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/26/2010,,,0,0,,,38,31,33,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/26/2010,,,0.1,,13,29,36,26,26,3.2,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/26/2010,,,0.15,0,0,,50,28,44,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/26/2010,,,0.5,,32,26,33,20,23,8.6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/26/2010,,,,,,38,49,32,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/27/2010,,,,,,31,36,26,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/27/2010,,,0,0,,,49,33,36,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/27/2010,,,0.2,,14,29,32,26,32,3.6,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/27/2010,,,0.01,0,0,,48,34,40,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/27/2010,,,0.4,,34,27,31,23,30,9,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/27/2010,,,,,,39,45,35,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/28/2010,,,,,,31,36,27,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/28/2010,,,0.12,0,,,43,35,37,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/28/2010,,,0.2,,17,33,34,31,31,4,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/28/2010,,,0.01,0,0,,49,38,47,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/28/2010,,,1.4,,42,31,33,30,30,10.5,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/28/2010,,,,,,42,45,38,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/29/2010,,,,,,24,33,19,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/29/2010,,,0.97,0,,,43,36,37,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/29/2010,,,0.3,,21,22,32,17,17,4.2,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/29/2010,,,0.8,0.2,0,,49,30,31,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/29/2010,,,0.3,,51,19,30,15,15,11.7,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/29/2010,,,,,,38,43,33,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/30/2010,,,,,,15,27,3,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/30/2010,,,0,0,0,,44,29,31,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/30/2010,,,0,,25,14,23,6,6,4.2,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/30/2010,,,0.01,0.4,0,,35,20,22,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/30/2010,,,0.1,,53,10,15,5,7,11.8,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/30/2010,,,,,,31,36,20,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,12/31/2010,,,,,,10,24,2,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,12/31/2010,,,0,0,0,,37,13,13,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,12/31/2010,,,0.1,,22,11,24,5,12,4,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,12/31/2010,,,0.01,0,0,,35,8,11,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,12/31/2010,,,0,,50,8,20,2,9,11.6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,12/31/2010,,,,,,22,31,14,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/1/2011,,,,,,15,24,5,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/1/2011,,,,,,,37,11,14,,,,,,,,
